"CATEGORY","TOTAL_ORDERS","LATE_DELIVERIES","LATE_PCT","AVG_DAYS_LATE"
"home_comfort_2",24,5,20.83,12.3
"christmas_supplies",125,18,14.4,10.9
"fashion_underwear_beach",117,16,13.68,6.9
"furniture_mattress_and_upholstery",37,5,13.51,15.7
"audio",348,46,13.22,8.2
"construction_tools_lights",242,30,12.4,4.4
"office_furniture",1254,149,11.88,11.1
"books_technical",256,29,11.33,5.4
"home_confort",392,44,11.22,12.5
"food",441,49,11.11,9.7
"furniture_decor",6307,688,10.91,9.5
"electronics",2517,266,10.57,7.7
"home_construction",483,49,10.14,9.6
"construction_tools_construction",736,74,10.05,10.3
"bed_bath_table",9272,920,9.92,9.8
