"ORDER_MONTH","TOTAL_ORDERS","MONTHLY_REVENUE","AVG_ORDER_VALUE","REVENUE_VS_PREV_MONTH"
"2016-09",1,134.97,44.99,
"2016-10",265,40325.11,128.83,40190.14
"2016-12",1,10.9,10.9,-40314.21
"2017-01",750,111798.36,122.45,111787.46
"2017-02",1653,234223.4,126.06,122425.04
"2017-03",2546,359198.85,123.99,124975.45
"2017-04",2303,340669.68,132.61,-18529.17
"2017-05",3546,489338.25,122.21,148668.57
"2017-06",3135,421923.37,120.93,-67414.88
"2017-07",3872,481604.52,109.06,59681.15
"2017-08",4193,554699.7,115.63,73095.18
"2017-09",4150,607399.67,128.22,52699.97
"2017-10",4478,648247.65,124.33,40847.98
"2017-11",7289,987765.37,116.55,339517.72
"2017-12",5513,726033.19,117.35,-261732.18
"2018-01",7069,924645,115.05,198611.81
"2018-02",6555,826437.13,109.93,-98207.87
"2018-03",7003,953356.25,118.92,126919.12
"2018-04",6798,973534.09,124.38,20177.84
"2018-05",6749,977544.69,125.17,4010.6
"2018-06",6099,856077.86,122.12,-121466.83
"2018-07",6159,867953.46,124.65,11875.6
"2018-08",6351,838576.64,117.41,-29376.82
