"STATE","TOTAL_ORDERS","TOTAL_REVENUE","AVG_ORDER_VALUE","ORDER_SHARE_PCT"
"SP",40501,5067633.16,109.1,41.98
"RJ",12350,1759651.13,124.42,12.8
"MG",11354,1552481.83,120.2,11.77
"RS",5345,728897.47,118.83,5.54
"PR",4923,666063.51,117.91,5.1
"SC",3546,507012.13,123.75,3.68
"BA",3256,493584.14,134.02,3.37
"DF",2080,296498.41,125.9,2.16
"ES",1995,268643.45,120.74,2.07
"GO",1957,282836.7,124.21,2.03
"PE",1593,251889.49,144.27,1.65
"CE",1279,219757.38,154.11,1.33
"PA",946,174470.59,165.53,0.98
"MT",886,152191.62,146.76,0.92
"MA",717,117009.38,146.26,0.74
"MS",701,115429.97,142.33,0.73
"PB",517,112586.82,192.13,0.54
"PI",476,84721,161.99,0.49
"RN",474,82105.66,157.59,0.49
"AL",397,78855.72,184.67,0.41
"SE",335,56574.19,150.86,0.35
"TO",274,48402.51,156.14,0.28
"RO",243,45682.76,167.34,0.25
"AM",145,22155.84,135.93,0.15
"AC",80,15930.97,175.07,0.08
"AP",67,13374.81,165.12,0.07
"RR",41,7057.47,153.42,0.04
