"CATEGORY","TOTAL_ORDERS","TOTAL_REVENUE","AVERAGE_ORDER_VALUE","REVENUE_SHARE_PCT"
"health_beauty",8647,1233131.72,130.28,9.07
"watches_gifts",5495,1166176.98,199.04,8.58
"bed_bath_table",9272,1023434.76,93.44,7.53
"sports_leisure",7530,954852.55,113.25,7.03
"computers_accessories",6530,888724.61,116.26,6.54
"furniture_decor",6307,711927.69,87.25,5.24
"housewares",5743,615628.69,90.6,4.53
"cool_stuff",3559,610204.1,164.12,4.49
"auto",3810,578966.65,139.85,4.26
"toys",3804,471286.48,116.94,3.47
